City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
127,Nola,IT,40.922,14.5329,62.92,91,100,2.48,light rain,2021-11-01 01:30:17
128,Ryabovo,RU,59.4,31.1333,46.63,94,84,6.13,broken clouds,2021-11-01 01:30:17
129,San Policarpo,PH,12.1791,125.5072,82.67,78,64,15.41,broken clouds,2021-11-01 01:30:17
130,Olafsvik,IS,64.8945,-23.7142,34.77,70,24,17.16,few clouds,2021-11-01 01:30:18
131,Winneba,GH,5.3511,-0.6231,79.27,88,97,12.91,overcast clouds,2021-11-01 01:30:18
132,Vangaindrano,MG,-23.35,47.6,71.13,94,100,6.08,moderate rain,2021-11-01 01:30:18
133,Gushikawa,JP,26.3544,127.8686,79.83,83,20,6.91,few clouds,2021-11-01 01:30:19
134,Weligama,LK,5.9667,80.4167,79.11,86,100,8.03,overcast clouds,2021-11-01 01:30:19
135,Naze,JP,28.3667,129.4833,67.12,75,20,14.97,few clouds,2021-11-01 01:30:19
136,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,90,4.0,light rain,2021-11-01 01:30:07
137,Kourou,GF,5.1552,-52.6478,82.11,86,55,6.06,broken clouds,2021-11-01 01:31:20
138,Waw,SS,7.7029,27.9953,73.78,82,64,2.48,broken clouds,2021-11-01 01:31:20
139,Benghazi,LY,32.1167,20.0667,68.95,70,100,4.68,overcast clouds,2021-11-01 01:26:26
140,Airai,TL,-8.9266,125.4092,76.42,43,60,2.3,broken clouds,2021-11-01 01:31:21
141,Pandan,PH,14.0453,124.1694,83.7,70,50,11.68,scattered clouds,2021-11-01 01:31:21
142,Hasaki,JP,35.7333,140.8333,64.29,71,100,4.72,overcast clouds,2021-11-01 01:31:21
143,Sembe,CG,1.6481,14.5806,69.15,98,100,1.5,light rain,2021-11-01 01:31:22
144,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,75,13.8,broken clouds,2021-11-01 01:31:22
145,Markova,UA,48.6758,24.4138,38.59,71,0,2.8,clear sky,2021-11-01 01:31:22
146,Santa Maria Do Suacui,BR,-18.1903,-42.4142,67.66,95,100,2.62,moderate rain,2021-11-01 01:31:23
147,Fortuna,US,40.5982,-124.1573,62.47,70,90,5.01,overcast clouds,2021-11-01 01:31:23
148,Cayeli,TR,41.0923,40.7292,63.54,66,56,5.44,broken clouds,2021-11-01 01:31:23
149,Abalak,RU,58.1286,68.5944,24.82,96,100,5.37,snow,2021-11-01 01:31:24
150,Port Augusta,AU,-32.5,137.7667,77.14,15,100,5.17,overcast clouds,2021-11-01 01:31:24
151,Beloha,MG,-25.1667,45.05,69.58,81,47,5.14,scattered clouds,2021-11-01 01:31:24
152,Kulhudhuffushi,MV,6.6221,73.07,81.91,76,100,13.94,light rain,2021-11-01 01:31:25
153,Santiago,CL,-33.4569,-70.6483,65.86,51,0,11.5,clear sky,2021-11-01 01:29:43
154,Dhanwar,IN,24.4167,85.9833,69.44,61,0,1.36,clear sky,2021-11-01 01:31:25
155,Santa Maria,BR,-29.6842,-53.8069,74.5,73,0,5.75,clear sky,2021-11-01 01:31:25
156,Saint Anthony,US,45.0205,-93.218,41.95,60,75,1.01,broken clouds,2021-11-01 01:31:26
157,College,US,64.8569,-147.8028,51.46,49,75,4.61,broken clouds,2021-11-01 01:29:56
158,Saint-Philippe,RE,-21.3585,55.7679,68.22,85,66,10.18,broken clouds,2021-11-01 01:31:26
159,Sistranda,NO,63.7256,8.834,48.9,72,100,29.89,overcast clouds,2021-11-01 01:31:27
160,La Brea,HN,15.8,-85.9667,73.45,87,22,1.43,few clouds,2021-11-01 01:31:27
161,Svetlyy,RU,54.675,20.1347,46.45,66,50,14.03,scattered clouds,2021-11-01 01:31:27
162,Klaksvik,FO,62.2266,-6.589,41.92,66,100,12.68,overcast clouds,2021-11-01 01:31:27
163,Kapaa,US,22.0752,-159.319,82.38,78,90,1.99,light rain,2021-11-01 01:31:28
164,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,71,0,8.05,clear sky,2021-11-01 01:27:20
165,Katsuura,JP,35.1333,140.3,69.19,79,100,7.7,overcast clouds,2021-11-01 01:31:28
166,Shu,KZ,43.5983,73.7614,40.53,68,70,2.89,broken clouds,2021-11-01 01:31:29
167,Poronaysk,RU,49.2167,143.1167,33.51,49,0,7.67,clear sky,2021-11-01 01:31:29
168,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.7,97,79,6.42,moderate rain,2021-11-01 01:31:29
169,Lavrentiya,RU,65.5833,-171.0,13.21,78,100,10.31,overcast clouds,2021-11-01 01:30:43
170,Nakusp,CA,50.2499,-117.8023,30.54,93,0,3.44,clear sky,2021-11-01 01:31:30
171,Ankara,TR,39.9199,32.8543,51.21,85,75,2.3,broken clouds,2021-11-01 01:31:18
